,okved,cluster
1,TRAJ8,0
4,MIR4502,1
5,TRAJ6,0
6,OR7E53P,2
7,PLSCR2,3
16,MIR6807,4
18,TRAV19,5
23,PRR20B,6
24,TRBV18,5
28,MIR4773-2,7
29,OR8B1P,8
30,IGLV3-22,9
35,MIR514B,10
38,TRAJ35,0
39,DUX4L2,11
40,IGKV1D-33,12
41,CT47A2,13
42,MIR7706,4
46,MIR6796,4
47,MIR548AE1,14
48,TRAJ1,0
50,FAM90A8,15
51,TRAJ26,0
52,IGKV1-9,16
54,MIR12129,4
55,IGHV3-21,16
56,IGHV3-16,17
57,OR9G2P,18
61,H3C11,19
64,OR8B10P,8
66,TRAJ14,0
67,CT47A11,13
68,USP17L20,20
69,USP17L22,20
70,IGLV5-37,9
75,SPEM2,21
79,PCDHGA4,22
80,IGKV1-39,16
84,IGHV4-34,16
88,MT-ND1,23
91,OR5AP2,24
93,TRAJ29,0
94,MIR4481,14
95,OR5A1,24
97,MIR4745,25
99,H2BP2,26
102,MIR3689A,27
110,CT47A6,13
111,TRAJ45,0
112,TRAJ48,0
114,PRR20D,6
115,TRAV9-2,5
116,MIR6835,4
120,OR10U1P,28
123,PLA2G2E,29
124,OR4K4P,30
129,CT47A9,13
131,TRAV12-2,5
132,MIR4653,31
136,OR56A5,32
139,TRAV2,5
143,USP17L17,20
145,OR8B9P,8
150,IGLV2-23,16
151,IGHV3-38,17
157,MIR4999,4
158,OR5M5P,18
161,OR8X1P,8
162,TRAJ3,0
163,GNG14,4
164,MT-ATP6,23
166,IGHV2-26,17
171,ATP11B,3
175,IGHV3-43,17
176,MIR7850,1
178,TRNAV-CAC,33
180,OR11H5P,30
183,OR5AC4P,34
190,IGKV2-30,16
191,H3C9P,35
192,OR7E158P,36
194,MIR6771,1
196,OR5D17P,18
197,TRAJ13,0
199,MIR3122,37
204,TRAJ37,0
206,PRR20C,6
207,PRAMEF13,38
208,MIR6511A1,39
211,USP17L28,20
212,MIR4732,31
214,OR4A18P,34
217,H3C10,19
223,OR4A17P,18
230,DUX4L3,11
231,CT47A1,13
232,OR4A19P,36
235,H4C3,40
239,MIR5000,14
243,TRBV29-1,5
244,USP17L12,20
247,MIR4743,31
249,MIR6165,1
250,TRAJ34,0
252,MIR5704,41
253,PCDHGA6,22
254,MIR6509,4
256,TRAJ39,0
257,MIR6881,1
259,H2BC10,42
261,OR5BL1P,43
266,DUX4L5,11
267,MIR3181,4
269,IGKV1D-12,12
272,OR5J1P,18
274,IGHV1OR15-9,17
275,ATP8B1,3
276,MIR4292,25
279,IGHV3-72,17
281,PCDHGB3,22
282,MIR6506,44
283,OR2AM1P,34
285,H3C6,45
286,PLA2G4B,29
288,TRAV10,46
292,PLA2G2D,29
293,TRAV23DV6,46
299,TRBV6-4,47
300,OR8A2P,8
303,OR6C66P,34
304,MIR6511A2,39
305,MIR320E,37
307,MIR4433B,48
312,MIR4467,31
315,FAM90A9,15
316,PRAMEF19,38
320,TRAJ4,0
321,GOLGA8O,49
323,TRAJ53,0
327,IGLV11-55,9
328,TRAV7,50
330,OR52Q1P,34
333,TRBV5-6,5
336,MIR6071,14
339,IGHV3-74,16
342,TRNAI-AAU,33
346,PLA2G10,29
347,OR4A10P,18
350,TRAV3,5
351,MIR6834,51
353,IGLV1-47,16
355,DUX4L6,11
358,MIR6829,41
360,IGKV2-29,12
361,IGLV2-11,16
362,MIR378I,48
369,OR5AO1P,35
371,IGLV5-45,9
373,MIR514A3,10
375,MIR7977,48
377,PLA2G12B,29
378,H2BC11,42
380,H4C13,40
382,OR5BP1P,43
387,MIR6833,51
393,OR2AS2P,2
394,TRAJ19,0
396,IGHV3-13,12
399,MT-CO3,23
402,IGKV1-37,52
403,PCDHGA11,22
405,TRAJ30,0
408,IGLV2-14,16
410,PLA2G1B,3
411,IGHV5-51,16
412,FAM90A18,15
413,OR5D15P,18
414,TRBJ2-2,53
415,IGLV7-43,12
417,OR52E7P,34
418,MIR6825,41
419,TRBV6-2,5
420,MIR5189,4
421,MIR3135B,51
423,TRAV21,5
427,H3C13,19
434,OR4K16P,30
441,MIR6504,44
443,H4C6,40
444,TRBV4-2,46
445,TRAV41,46
448,ATP8B4,3
450,MT-CO2,23
453,TRAJ33,0
454,MT-CO1,23
457,IGLV2-33,9
458,MIR6892,1
460,IGLC6,12
461,MIR6737,4
463,IGHV4-4,17
465,IGHV3-48,12
466,BAGE2,54
468,OR2AD1P,36
470,CT47A4,13
471,OR6C71P,2
473,TRAJ58,0
474,IGKV6D-21,52
476,USP17L19,20
478,IGHV3OR16-12,17
479,OR5D2P,43
483,OR8C1P,8
486,TRBJ1-3,55
487,TRBJ1-4,55
489,MIR3162,31
493,MIR4712,25
497,MIR7974,4
499,IGLV3-12,9
501,MIR6873,51
503,IGHV7-4-1,50
504,TRAV38-1,47
505,TRAV14DV4,5
506,MIR4771-1,14
507,PCDHGA9,22
511,TRBV5-1,5
514,ATP10B,3
517,CT47A3,13
520,OR7E21P,36
522,RBMY1E,56
523,OR9R1P,28
